                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.00035,                0.45968,                      1,                 1.0246,               0.008713,               0.008713,               0.008713
                     67,                0.00018,                0.45968,                      1,                 1.0276,              0.0086932,              0.0086932,              0.0086932
                     68,                0.00022,                0.44758,                      1,                 1.0313,              0.0086734,              0.0086734,              0.0086734
                     69,                 0.0001,                0.44355,                      1,                 1.0355,              0.0086536,              0.0086536,              0.0086536
                     70,                  8e-05,                0.44758,                      1,                 1.0321,              0.0086338,              0.0086338,              0.0086338
                     71,                  5e-05,                0.44758,                      1,                 1.0315,               0.008614,               0.008614,               0.008614
                     72,                  8e-05,                0.45968,                      1,                 1.0327,              0.0085942,              0.0085942,              0.0085942
                     73,                  6e-05,                0.45565,                      1,                 1.0329,              0.0085744,              0.0085744,              0.0085744
                     74,                  9e-05,                0.45565,                      1,                 1.0313,              0.0085546,              0.0085546,              0.0085546
                     75,                  5e-05,                0.45161,                      1,                 1.0326,              0.0085348,              0.0085348,              0.0085348
                     76,                  8e-05,                0.45565,                      1,                  1.028,               0.008515,               0.008515,               0.008515
                     77,                  5e-05,                0.46774,                      1,                 1.0281,              0.0084952,              0.0084952,              0.0084952
                     78,                  5e-05,                0.46774,                      1,                 1.0293,              0.0084754,              0.0084754,              0.0084754
                     79,                  5e-05,                0.46371,                      1,                 1.0308,              0.0084556,              0.0084556,              0.0084556
                     80,                  4e-05,                0.47581,                      1,                 1.0265,              0.0084358,              0.0084358,              0.0084358
                     81,                0.00014,                0.45161,                      1,                 1.0314,               0.008416,               0.008416,               0.008416
                     82,                  6e-05,                0.46371,                      1,                 1.0257,              0.0083962,              0.0083962,              0.0083962
                     83,                  7e-05,                0.46774,                      1,                 1.0251,              0.0083764,              0.0083764,              0.0083764
                     84,                  3e-05,                0.45968,                      1,                 1.0244,              0.0083566,              0.0083566,              0.0083566
                     85,                  5e-05,                0.46774,                      1,                 1.0245,              0.0083368,              0.0083368,              0.0083368
                     86,                  4e-05,                0.45968,                      1,                 1.0244,               0.008317,               0.008317,               0.008317
                     87,                  4e-05,                0.45968,                      1,                 1.0267,              0.0082972,              0.0082972,              0.0082972
                     88,                  4e-05,                0.45565,                      1,                 1.0248,              0.0082774,              0.0082774,              0.0082774
                     89,                  3e-05,                0.46371,                      1,                 1.0231,              0.0082576,              0.0082576,              0.0082576
                     90,                0.00043,                0.43952,                      1,                 1.0386,              0.0082378,              0.0082378,              0.0082378
                     91,                0.00068,                0.47984,                      1,                 1.0209,               0.008218,               0.008218,               0.008218
                     92,                0.00058,                0.48387,                      1,                 1.0153,              0.0081982,              0.0081982,              0.0081982
                     93,                0.00033,                0.47984,                      1,                 1.0183,              0.0081784,              0.0081784,              0.0081784
                     94,                0.00015,                0.48387,                      1,                 1.0135,              0.0081586,              0.0081586,              0.0081586
                     95,                0.00016,                0.49597,                      1,                 1.0085,              0.0081388,              0.0081388,              0.0081388
                     96,                 0.0001,                    0.5,                      1,                 1.0032,               0.008119,               0.008119,               0.008119
                     97,                  5e-05,                    0.5,                      1,                 1.0025,              0.0080992,              0.0080992,              0.0080992
                     98,                  6e-05,                    0.5,                      1,                 1.0025,              0.0080794,              0.0080794,              0.0080794
                     99,                0.00012,                0.50806,                      1,                 1.0018,              0.0080596,              0.0080596,              0.0080596
                    100,                0.00012,                0.50403,                      1,                0.99956,              0.0080398,              0.0080398,              0.0080398
                    101,                  7e-05,                 0.5121,                      1,                0.99993,                0.00802,                0.00802,                0.00802
                    102,                  4e-05,                0.50806,                      1,                 1.0033,              0.0080002,              0.0080002,              0.0080002
